Type,ID,Description,Budget,Utilization,Available Budget,Locked Amt,Budget after Locked Amt,Claim Amt,Net Balance
Capex,IT_NP14_Sub_57_2025,Enhancements on PowerCard system ?(RFCs) ? Inluding Audit and security related,"17,50,000.00","12,42,630.78","5,07,369.22","1,61,979.30","3,45,389.92",0,"3,45,389.92"
Capex,IT_NP12_Sub_11_2025,FinnOne Delivery Squad for Risk Team,"21,40,876.00","7,16,217.25","14,24,658.75","12,56,166.00","1,68,492.75",0,"1,68,492.75"
Capex,IT_NP14_Sub14_2024,Infra sizing enhancements to cater the increase load on the servers,"12,00,000.00","5,55,512.65","6,44,487.35",0,"6,44,487.35",0,"6,44,487.35"
Capex,IT_NP14_Sub20_2024,Alternate second factor authentication authorization for digital platforms.,"30,00,000.00","17,17,642.76","12,82,357.24",0,"12,82,357.24",0,"12,82,357.24"
Capex,IT_NP14_Sub4_2024,Omni is set of APIs that provide services of IB to be used by MB and other front-end channels. IB is used as backend for all the channels. This APIs are legacy and need to align with the modern tech strategy to create ACL (Anti-corruption Layer pattern (Anti-corruption Layer) to be consumed by front end channels.,"5,40,000.00","2,78,912.99","2,61,087.01",0,"2,61,087.01",0,"2,61,087.01"
Capex,IT_NP14_Sub6_2024,"Establish key POD to enable Generative AI function in the organization. This team will enable establishing key platform, teams and setup strategic relationship with the partners and work on couple of key use cases.","14,00,000.00","8,11,283.24","5,88,716.76",0,"5,88,716.76",0,"5,88,716.76"
Capex,IT_NP14_Sub_101_2025,PF FINNONE,"22,40,000.00","13,60,367.00","8,79,633.00",0,"8,79,633.00",0,"8,79,633.00"
Capex,IT_NP14_Sub_102_2025,AF FINNONE,"15,90,000.00","12,90,543.00","2,99,457.00",0,"2,99,457.00",0,"2,99,457.00"
Capex,IT_NP14_Sub_103_2025,Home Finance,"13,80,000.00","4,23,842.55","9,56,157.45",0,"9,56,157.45",0,"9,56,157.45"
Capex,IT_NP14_Sub_105_2025,Regulatory Programs (Jaywan) – Seed funding request to onboard solution design & integration services,"45,63,000.00","33,67,351.73","11,95,648.27","3,30,586.00","8,65,062.27",0,"8,65,062.27"
Capex,IT_NP16_Sub_11_2025,Infra upgrade beef up for digital platform subject to increasing volumes to meet growth and maintain performance,"14,00,000.00","2,98,431.25","11,01,568.75",0,"11,01,568.75",0,"11,01,568.75"
Capex,IT_NP16_Sub_24_2025,SME Enrollment (Sole Proprietor) to Aani platform,"6,24,000.00","3,99,588.74","2,24,411.26",0,"2,24,411.26",0,"2,24,411.26"
Capex,IT_NP16_Sub_6_2025,"Various Platform , Server Upgrades Legacy remediation of old technologies and heatmap","21,00,000.00","9,52,864.40","11,47,135.60","1,39,574.00","10,07,561.60",0,"10,07,561.60"
